case,stratum,method,parameter,attempted,accepted,stratum_n,valid,covered,coverage,coverage_mcse,bias,empirical_sd,mean_se,median_se,sd_mean_se_ratio,sd_median_se_ratio
cf_reference,interior,ambient,treatment_0,200,200,100,100,95,0.95,0.021794494717703377,-0.01432254327060811,0.12097092827747312,0.12030253507136544,0.12055681410457975,1.0055559361713464,1.003435012578668
cf_reference,interior,ambient,treatment_1,200,200,100,100,95,0.95,0.021794494717703377,-0.0008757055765638644,0.12500107078753253,0.1232179175093239,0.12181067823111408,1.0144715420796955,1.0261914029438803
cf_reference,interior,fixed_range,FEV10_0,200,200,100,100,89,0.89,0.031288975694324025,0.00037770446193958877,0.028905855667757444,0.0253576576083328,0.025292019523999384,1.1399260970484384,1.1428844438590173
cf_reference,interior,fixed_range,FEV10_1,200,200,100,100,95,0.95,0.021794494717703377,0.0006411321927880862,0.023971895916359315,0.02639519194874028,0.02595618394507864,0.9081917632163073,0.9235523976514447
cf_reference,interior,fixed_range,treatment_0,200,200,100,100,95,0.95,0.021794494717703377,-0.01432254327060811,0.12097092827747312,0.12030253507136544,0.12055681410457975,1.0055559361713464,1.003435012578668
cf_reference,interior,fixed_range,treatment_1,200,200,100,100,95,0.95,0.021794494717703377,-0.0008757055765638644,0.12500107078753253,0.1232179175093239,0.12181067823111408,1.0144715420796955,1.0261914029438803
cf_reference,interior,fixed_rank,FEV10_0,200,200,100,100,89,0.89,0.031288975694324025,0.00037770446193958877,0.028905855667757444,0.0253576576083328,0.025292019523999384,1.1399260970484384,1.1428844438590173
cf_reference,interior,fixed_rank,FEV10_1,200,200,100,100,95,0.95,0.021794494717703377,0.0006411321927880862,0.023971895916359315,0.02639519194874028,0.02595618394507864,0.9081917632163073,0.9235523976514447
cf_reference,interior,fixed_rank,treatment_0,200,200,100,100,95,0.95,0.021794494717703377,-0.01432254327060811,0.12097092827747312,0.12030253507136544,0.12055681410457975,1.0055559361713464,1.003435012578668
cf_reference,interior,fixed_rank,treatment_1,200,200,100,100,95,0.95,0.021794494717703377,-0.0008757055765638644,0.12500107078753253,0.1232179175093239,0.12181067823111408,1.0144715420796955,1.0261914029438803
cf_reference,boundary,ambient,FEV10_0,200,200,100,100,91,0.91,0.028618176042508364,-0.0015672666918111302,0.028954057195187493,0.02517205251370867,0.025232958332119283,1.1502461779554587,1.1474697819451312
cf_reference,boundary,ambient,FEV10_1,200,200,100,100,95,0.95,0.021794494717703377,-0.004116736731047525,0.024322262146501423,0.02435426281727621,0.024108327574863246,0.998686034103562,1.008873886874726
cf_reference,boundary,ambient,treatment_0,200,200,100,100,96,0.96,0.019595917942265433,-0.006471928584769846,0.11381500593531688,0.11961310852214797,0.11889600671404968,0.9515261942568987,0.9572651687877723
cf_reference,boundary,ambient,treatment_1,200,200,100,100,93,0.93,0.02551470164434614,-0.009427278288669114,0.11876411693986222,0.11507542072096452,0.11439742737610918,1.032054596852981,1.0381712217128494
cf_reference,boundary,fixed_range,FEV10_0,200,200,100,100,91,0.91,0.028618176042508364,-0.0015672666918111302,0.028954057195187493,0.025150516199375757,0.025183120726592526,1.151231130433265,1.1497406341944343
cf_reference,boundary,fixed_range,FEV10_1,200,200,100,100,94,0.94,0.023748684174075843,-0.004116736731047525,0.024322262146501423,0.023794733591677008,0.023739466472266352,1.0221699710480867,1.024549653418535
cf_reference,boundary,fixed_range,treatment_0,200,200,100,100,96,0.96,0.019595917942265433,-0.006471928584769846,0.11381500593531688,0.11955043652626685,0.11897218872627437,0.9520250133951639,0.9566521987519041
cf_reference,boundary,fixed_range,treatment_1,200,200,100,100,93,0.93,0.02551470164434614,-0.009427278288669114,0.11876411693986222,0.11351177645784123,0.11311848020481563,1.0462713266052333,1.0499090575193764
cf_reference,boundary,fixed_rank,FEV10_0,200,200,100,100,91,0.91,0.028618176042508364,-0.0015672666918111302,0.028954057195187493,0.02516378772374101,0.025211319276730107,1.1506239646057146,1.1484546634539634
cf_reference,boundary,fixed_rank,FEV10_1,200,200,100,100,95,0.95,0.021794494717703377,-0.004116736731047525,0.024322262146501423,0.02388283734024212,0.02379602140823063,1.0183991876676597,1.0221146522455546
cf_reference,boundary,fixed_rank,treatment_0,200,200,100,100,96,0.96,0.019595917942265433,-0.006471928584769846,0.11381500593531688,0.11958570481483606,0.1188937473144556,0.9517442416009972,0.95728336019466
cf_reference,boundary,fixed_rank,treatment_1,200,200,100,100,93,0.93,0.02551470164434614,-0.009427278288669114,0.11876411693986222,0.11369507465499484,0.11295979422467275,1.0445845371952063,1.0513839703323546
skin_reference,all_accepted,ambient,age10_0,200,200,200,200,173,0.865,0.024163505540380516,-0.007320079322098037,0.028682050207775256,0.024584344141321556,0.02305538208393396,1.1666794950029293,1.2440500922238984
skin_reference,all_accepted,ambient,age10_1,200,200,200,200,168,0.84,0.025922962793631443,-0.014058334411220863,0.051281276918628736,0.046300045387757886,0.042230862740901196,1.1075858887211356,1.2143080579067138
