case,comparison,parameter,n,risk_difference,MCSE
cf_n160,coupled - projected_initial,negative_prediction_fraction,100,0.0,0.0
cf_n160,fallback - projected_initial,treatment_0,100,-0.008823896004530426,0.0018773246053176613
cf_n160,fallback - projected_initial,FEV10_0,100,-0.000339145395711249,0.00015642245918843294
cf_n160,fallback - projected_initial,treatment_1,100,-0.04152458250786441,0.009780382951969492
cf_n160,fallback - projected_initial,FEV10_1,100,-0.002025175999863596,0.000457430467513238
cf_n160,fallback - projected_initial,nu0,100,0.04872407492590868,0.011244717594412961
cf_n160,fallback - projected_initial,nu1,100,0.02452457994456875,0.013509398806419843
cf_n160,fallback - projected_initial,theta,100,0.01922137991575117,0.004357391198073
cf_n160,fallback - projected_initial,cumulative_relative_0,100,-0.023627943450304067,0.005599515446865291
cf_n160,fallback - projected_initial,cumulative_relative_1,100,-18.29399637427998,4.801905254702285
cf_n160,fallback - projected_initial,baseline_relative_ISE_0,100,-0.05295524515758102,0.009352626293288294
cf_n160,fallback - projected_initial,baseline_relative_ISE_1,100,-44.04486312962175,15.038057685219803
cf_n160,fallback - projected_initial,prediction_mse,100,-0.059031016386786775,0.003048361187516817
cf_n160,fallback - projected_initial,negative_prediction_fraction,100,0.0,0.0
cf_n2564,coupled - initial,treatment_0,100,-0.0011245956570690207,0.0002842903339035065
cf_n2564,coupled - initial,FEV10_0,100,-3.4408489055824714e-05,2.714655149352528e-05
cf_n2564,coupled - initial,treatment_1,100,-0.003167451775320615,0.0007423220357596164
cf_n2564,coupled - initial,FEV10_1,100,-0.0007950975335644527,9.851324477283953e-05
cf_n2564,coupled - initial,nu0,100,-0.005396684872932371,0.0009388160307687915
cf_n2564,coupled - initial,nu1,100,-0.00070215249518571,0.0001477219080293636
cf_n2564,coupled - initial,theta,100,0.0013514236289576362,0.0002233121497225169
cf_n2564,coupled - initial,cumulative_relative_0,100,-0.006756807061994421,0.0009092298610531053
cf_n2564,coupled - initial,cumulative_relative_1,100,-4.681306023791499,0.18418113764461547
cf_n2564,coupled - initial,baseline_relative_ISE_0,100,-0.01978819250522649,0.0012324594260714893
cf_n2564,coupled - initial,baseline_relative_ISE_1,100,-6.177474802453417,0.2764969867248256
cf_n2564,coupled - initial,prediction_mse,100,-0.07719463572552372,0.0004912493352810691
cf_n2564,coupled - initial,negative_prediction_fraction,100,0.0,0.0
cf_n2564,coupled - projected_initial,treatment_0,100,-0.0011245956570690207,0.0002842903339035065
cf_n2564,coupled - projected_initial,FEV10_0,100,-3.4408489055824714e-05,2.714655149352528e-05
cf_n2564,coupled - projected_initial,treatment_1,100,-0.003167451775320615,0.0007423220357596164
cf_n2564,coupled - projected_initial,FEV10_1,100,-0.0007950975335644527,9.851324477283953e-05
cf_n2564,coupled - projected_initial,nu0,100,-0.005396684872932374,0.0009388160307687912
cf_n2564,coupled - projected_initial,nu1,100,-0.0007021524951857101,0.00014772190802936363
cf_n2564,coupled - projected_initial,theta,100,0.0013514236289576362,0.0002233121497225169
cf_n2564,coupled - projected_initial,cumulative_relative_0,100,-0.006756807061994421,0.0009092298610531053
cf_n2564,coupled - projected_initial,cumulative_relative_1,100,-4.681306023791499,0.18418113764461547
cf_n2564,coupled - projected_initial,baseline_relative_ISE_0,100,-0.01978819250522649,0.0012324594260714893
cf_n2564,coupled - projected_initial,baseline_relative_ISE_1,100,-6.177474802453417,0.2764969867248256
cf_n2564,coupled - projected_initial,prediction_mse,100,-0.07719463572552372,0.0004912493352810691
cf_n2564,coupled - projected_initial,negative_prediction_fraction,100,0.0,0.0
cf_n2564,fallback - projected_initial,treatment_0,100,-0.0011245956570690207,0.0002842903339035065
cf_n2564,fallback - projected_initial,FEV10_0,100,-3.4408489055824714e-05,2.714655149352528e-05
