case,method,denominator,parameter,n,mean,mean_MCSE,truth,bias,bias_MCSE,RMSE,RMSE_MCSE,MSE,MSE_MCSE
cf_reference,initial,certified_initial,treatment_0,200,-0.3828676196240589,0.008800945601408162,-0.35,-0.03286761962405896,0.008800945601408162,0.12842956229802396,0.005638613632163181,0.016494152472062016,0.0014483293614927768
cf_reference,initial,certified_initial,FEV10_0,200,-0.1924529662676847,0.0021694199983785245,-0.18,-0.01245296626768471,0.0021694199983785245,0.0330400758414333,0.0018950212019044849,0.0010916466116076642,0.00012522328846409654
cf_reference,initial,certified_initial,treatment_1,200,0.08969002079847535,0.01124416751378474,0.05,0.039690020798475334,0.01124416751378474,0.16350879812265692,0.008135850472352053,0.026735127063515777,0.00266056626487987
cf_reference,initial,certified_initial,FEV10_1,200,0.1037873477396276,0.002242488318857579,0.08,0.02378734773962762,0.0022424883188575783,0.03957979194826942,0.0018002986709773215,0.0015665599306682924,0.00014251089368405665
cf_reference,initial,certified_initial,nu0,200,0.28738646703467263,0.0012235777917500377,0.4,-0.11261353296532739,0.0012235777917500377,0.11392865832095626,0.0012242276807574587,0.012979739186813196,0.00027894923429614646
cf_reference,initial,certified_initial,nu1,200,0.110469860320661,0.0006895070066851252,0.06,0.050469860320660996,0.0006895070066851252,0.051398593009228756,0.0006885894186692596,0.0026418153633283393,7.07850545612854e-05
cf_reference,initial,certified_initial,theta,200,-0.014042722598189788,0.0004232164257754181,-0.03,0.01595727740181021,0.0004232164257754181,0.017037547315987146,0.00042121942594049237,0.0002902780185445008,1.4353091799748165e-05
cf_reference,initial,certified_initial,cumulative_relative_0,200,1.088119258805258,0.007596568713839181,1.0,0.08811925880525795,0.007596568713839181,0.138740286726603,0.0073380658140732085,0.019248867160980006,0.0020361707101264007
cf_reference,initial,certified_initial,baseline_relative_ISE_0,200,0.04944468299415495,0.0028963974434860654,,,,,,,
cf_reference,initial,certified_initial,cumulative_relative_1,200,3.3316014088024195,0.059298762801758984,1.0,2.3316014088024195,0.059298762801758984,2.477118777980471,0.06640429816139358,6.1361174402234635,0.32898266782840424
cf_reference,initial,certified_initial,baseline_relative_ISE_1,200,8.958280642652257,0.5518207187076684,,,,,,,
cf_reference,initial,certified_initial,prediction_mse,200,0.27188697157172553,0.0009097238606163872,,,,,,,
cf_reference,initial,certified_initial,negative_prediction_fraction,200,0.0,0.0,,,,,,,
cf_reference,projected_initial,certified_initial,treatment_0,200,-0.3828676196240589,0.008800945601408162,-0.35,-0.03286761962405896,0.008800945601408162,0.12842956229802396,0.005638613632163181,0.016494152472062016,0.0014483293614927768
cf_reference,projected_initial,certified_initial,FEV10_0,200,-0.1924529662676847,0.0021694199983785245,-0.18,-0.01245296626768471,0.0021694199983785245,0.0330400758414333,0.0018950212019044849,0.0010916466116076642,0.00012522328846409654
cf_reference,projected_initial,certified_initial,treatment_1,200,0.08969002079847535,0.01124416751378474,0.05,0.039690020798475334,0.01124416751378474,0.16350879812265692,0.008135850472352053,0.026735127063515777,0.00266056626487987
cf_reference,projected_initial,certified_initial,FEV10_1,200,0.1037873477396276,0.002242488318857579,0.08,0.02378734773962762,0.0022424883188575783,0.03957979194826942,0.0018002986709773215,0.0015665599306682924,0.00014251089368405665
