family,comparison,method,parameter,n,risk_difference,MCSE
skin,K2 - K4,fallback,baseline_relative_ISE_0,100,0.009021897909729494,0.00025170932373564465
skin,K2 - K4,fallback,baseline_relative_ISE_1,100,0.002674376166365017,0.00042096137137272676
skin,K2 - K4,fallback,prediction_mse,100,-0.003169139131697061,0.00022836362177025001
skin,K2 - K4,fallback,negative_prediction_fraction,100,0.0,0.0
skin,K2 - K4,coupled,treatment_0,100,7.698050319130486e-06,8.277277211351595e-06
skin,K2 - K4,coupled,age10_0,100,3.049041039230135e-07,2.5345296288149096e-06
skin,K2 - K4,coupled,treatment_1,100,5.181080475926269e-05,2.4070414738266057e-05
skin,K2 - K4,coupled,age10_1,100,7.246920689850942e-06,1.1247857335401432e-05
skin,K2 - K4,coupled,sigma0,100,-6.384990649608059e-08,7.95993681562995e-08
skin,K2 - K4,coupled,sigma1,100,1.0147207913251822e-06,4.218886844703723e-07
skin,K2 - K4,coupled,nu0,100,-0.0021861608701033448,0.0007957207275978917
skin,K2 - K4,coupled,nu1,100,-0.028080354257562504,0.0023306050203510367
skin,K2 - K4,coupled,theta,100,-0.00018209651100257177,3.745456521215391e-05
skin,K2 - K4,coupled,cumulative_relative_0,100,0.0022452410112166164,0.00015751079181786486
skin,K2 - K4,coupled,cumulative_relative_1,100,0.002110339716118591,0.0002018832603667596
skin,K2 - K4,coupled,baseline_relative_ISE_0,100,0.009021897909729494,0.00025170932373564465
skin,K2 - K4,coupled,baseline_relative_ISE_1,100,0.002674376166365017,0.00042096137137272676
skin,K2 - K4,coupled,prediction_mse,100,-0.003169139131697061,0.00022836362177025001
skin,K2 - K4,coupled,negative_prediction_fraction,100,0.0,0.0
skin,K8 - K4,fallback,treatment_0,100,2.3427149056749813e-06,4.123068758266197e-06
skin,K8 - K4,fallback,age10_0,100,-2.496399658257109e-07,1.0368923454648752e-06
skin,K8 - K4,fallback,treatment_1,100,-3.5827137515832093e-06,1.264495259186849e-05
skin,K8 - K4,fallback,age10_1,100,-8.775223058878183e-06,6.0438748362917195e-06
skin,K8 - K4,fallback,sigma0,100,-2.7458424097769165e-08,3.398953896084725e-08
skin,K8 - K4,fallback,sigma1,100,2.6044853405315607e-08,2.0571693241842264e-07
skin,K8 - K4,fallback,nu0,100,-0.0002841170890233345,0.000317058829534215
skin,K8 - K4,fallback,nu1,100,0.004476154629245812,0.0012302733647921657
skin,K8 - K4,fallback,theta,100,4.875699037790643e-06,1.3999690915712047e-05
skin,K8 - K4,fallback,cumulative_relative_0,100,-0.0005285427180594564,5.632979457285337e-05
skin,K8 - K4,fallback,cumulative_relative_1,100,-0.00040999337518689104,7.84696766314782e-05
skin,K8 - K4,fallback,baseline_relative_ISE_0,100,0.0002176100416678147,0.00025391460717254656
skin,K8 - K4,fallback,baseline_relative_ISE_1,100,0.007250493835925476,0.0006967104917099553
skin,K8 - K4,fallback,prediction_mse,100,0.000473351272584408,0.00011320582657185583
skin,K8 - K4,fallback,negative_prediction_fraction,100,0.0,0.0
skin,K8 - K4,coupled,treatment_0,100,2.3427149056749813e-06,4.123068758266197e-06
skin,K8 - K4,coupled,age10_0,100,-2.496399658257109e-07,1.0368923454648752e-06
skin,K8 - K4,coupled,treatment_1,100,-3.5827137515832093e-06,1.264495259186849e-05
skin,K8 - K4,coupled,age10_1,100,-8.775223058878183e-06,6.0438748362917195e-06
skin,K8 - K4,coupled,sigma0,100,-2.7458424097769165e-08,3.398953896084725e-08
skin,K8 - K4,coupled,sigma1,100,2.6044853405315607e-08,2.0571693241842264e-07
skin,K8 - K4,coupled,nu0,100,-0.0002841170890233345,0.000317058829534215
skin,K8 - K4,coupled,nu1,100,0.004476154629245812,0.0012302733647921657
skin,K8 - K4,coupled,theta,100,4.875699037790643e-06,1.3999690915712047e-05
skin,K8 - K4,coupled,cumulative_relative_0,100,-0.0005285427180594564,5.632979457285337e-05
skin,K8 - K4,coupled,cumulative_relative_1,100,-0.00040999337518689104,7.84696766314782e-05
skin,K8 - K4,coupled,baseline_relative_ISE_0,100,0.0002176100416678147,0.00025391460717254656
skin,K8 - K4,coupled,baseline_relative_ISE_1,100,0.007250493835925476,0.0006967104917099553
skin,K8 - K4,coupled,prediction_mse,100,0.000473351272584408,0.00011320582657185583
skin,K8 - K4,coupled,negative_prediction_fraction,100,0.0,0.0
